model,month,status,n_stocks,objective_value,turnover,transaction_cost,short_borrow_cost,long_lending_revenue,gross_return,net_return,short_weight,gross_exposure,fee_exposure
M2,2022-11,CLARABEL_SOLVED,970,1.7771198652792952,2.0918404557275725,0.010459202278637862,0.0013375889451443124,2.5729828213477204e-05,0.012094277269283553,0.00032321587371485547,0.25000001687747264,1.500000033754945,0.0013375889451443124
M2,2022-12,CLARABEL_SOLVED,969,1.9991718835386063,1.7905263346740548,0.008952631673370274,0.0025801168177111092,2.1500756620742602e-05,-0.05649328422014148,-0.06800453195460213,0.2500000173715045,1.5000000347430094,0.0025801168177111092
M2,2023-01,CLARABEL_SOLVED,973,1.7952378944690037,1.677662363502304,0.008388311817511521,0.001907655569928842,4.306765412104575e-05,0.04322832692244351,0.03297542718912419,0.25000001391278037,1.5000000278255607,0.001907655569928842
M2,2023-02,CLARABEL_SOLVED,972,2.0871763037530053,1.5315789675800633,0.007657894837900317,0.006408054988562763,3.642316635433016e-05,0.011746314683308267,-0.0022832119768004828,0.2500000116521667,1.500000023304335,0.006408054988562763
M2,2023-03,CLARABEL_SOLVED,975,1.8487970663450748,1.5801846622214983,0.007900923311107491,0.0074871982534874095,2.4592777370876124e-05,0.0026117487650129598,-0.012751780022211064,0.2500000298432805,1.500000059686562,0.0074871982534874095
M2,2023-04,CLARABEL_SOLVED,985,1.8818804865556145,1.9652174473064605,0.009826087236532303,0.004386124290750067,3.962642222820223e-05,-0.3879954943603562,-0.40216807946541033,0.2500000114141723,1.5000000228283443,0.004386124290750067
M2,2023-05,CLARABEL_SOLVED,983,1.9166592736769346,2.243841955522017,0.011219209777610085,0.009707096754941212,9.3432285744265e-05,0.08274567003805955,0.06191279579125252,0.2500000117232075,1.5000000234464153,0.009707096754941212
M2,2023-06,CLARABEL_SOLVED,988,1.8615098792654425,1.898946018328997,0.009494730091644985,0.00592406446121204,3.5106970475657686e-05,0.0418528563389238,0.026469168756542434,0.2500000087975534,1.5000000175951071,0.00592406446121204
M2,2023-07,CLARABEL_SOLVED,987,2.0444966317505724,1.6612121236562059,0.00830606061828103,0.0025996388745216266,2.5465664667746614e-05,0.03606884050905163,0.025188606680916725,0.2500000223756502,1.5000000447513,0.0025996388745216266
M2,2023-08,CLARABEL_SOLVED,986,1.8214673508021426,1.8932530156358984,0.009466265078179492,0.0037857921705569085,2.8716597040966038e-05,0.04311577486877011,0.029892434217074673,0.2500000111101247,1.50000002222025,0.0037857921705569085
